СТАТУСЫ ПЕРВИЧНОГО КОНТАКТА / 1_ОТ ЗАЯВКИ ДО КВАЛА,,,
Статус,Критерии применения,Обязательные действия в CRM карточке,КВАЛ / НЕ КВАЛ
1_СПАМ Роботы,"Нет ответа по всем каналам связи (звонок, SMS, мессенджеры) с первого обращения. Или явные признаки бота/ошибочной отправки.",В комментарии перечислить все неудачные попытки связи. Запрещено ставить без минимум 2 попыток в первые 2 дня. Исключения - выявленная номерация СПАМ-номеров.,НЕ КВАЛ
1_Не целевой звонок,"Клиент заявил, что не оставлял заявку, не интересуется покупкой.","Зафиксировать слова клиента (напр., «Сообщил, что заявку не оставлял»).",НЕ КВАЛ
1_Сброс при разговоре (разговора не случилось),Клиент оборвал звонок на раннем этапе и более не отвечает.,"Указать, на какой теме произошёл сброс (напр., «Сбросил при уточнении модели»).",НЕ КВАЛ
1_ДУБЛЬ,Клиент уже в работе у другого менеджера ИЛИ недавно был в салоне (факт проверен).,В комментарии указать ФИО менеджера и дату первоначальной заявки.,НЕ КВАЛ
1_Неверный номер,"Номер не существует, не принадлежит клиенту, указан с ошибкой.","Зафиксировать причину (напр., «Недостаточно цифр в номере»).",НЕ КВАЛ
1_Находится далеко не поедет,Клиент из другого региона отказался от визита.,Указать город клиента и причину отказа.,НЕ КВАЛ
1_Не гражданин РФ,"У клиента нет паспорта РФ для кредита, а альтернативы (оформление на третье лицо, предложения партнёров) невозможны/отклонены.",Перед закрытием проверить актуальные условия для нерезидентов. ,НЕ КВАЛ
1_ХОЗ,"Контакт — владелец автомобиля, стоящего у нас на комиссии.",Передать информацию по клиенту в город.,НЕ КВАЛ
1_Не дозвонился (теплый лид),Только для воронки «Теплые лиды». Контакт не установлен в рамках регламента обзвона.,"Указать количество, даты и время попыток дозвона.",НЕ КВАЛ
1_Не_Дозвонился mango,"От клиента поступал входящий звонок на линию MANGO. Создалась карточка, менеджер пытался дозвониться, но получилось.",Сделать несколько попыток дозвониться до клиента.,НЕ КВАЛ
1_Авто клиента нам не интересно (по стоп листу),"Автомобиль клиента не соответствует требованиям салона (состояние, модель в STOP-листе и т.п.).","Уточнить у МОП детали, отразить комментарий в CRM. (напр., тех. состояние, юридические ограничения).",НЕ КВАЛ
1_Изначально не планировал покупку,"Клиент прямо заявил, что лишь изучал рынок, «интересовался на будущее».",Зафиксировать слова клиента.,НЕ КВАЛ
1_Спам Не дозвонились,Контакт не установлен: клиент не отвечает на звонки/сообщения в рамках регламента первичной обработки.,"В комментарии перечислить каналы, даты и время попыток связи. Не ставить без достаточного количества попыток по регламенту.",НЕ КВАЛ
1_Был визит в салон ранее (не актуально),"Клиент уже был в салоне / заявка неактуальна, факт визита или актуальной работы проверен.","Указать дату визита, салон/менеджера и ссылку на актуальную карточку, если есть.",НЕ КВАЛ
,,,
СТАТУСЫ ВТОРИЧНОГО КОНТАКТА / 2_ОТ КВАЛА ДО ВИЗИТА,,,
Статус,Критерии применения,Обязательные действия в CRM карточке,КВАЛ / НЕ КВАЛ
2_Не дозвонился,После первичного диалога и договорённостей клиент перестал отвечать на звонки/сообщения.,Указать тему последнего разговора и количество последующих попыток связи.,КВАЛ
2_Пропала потребность,"Клиент сообщил, что больше не нуждается в покупке автомобиля.","Зафиксировать причину, если озвучена.",КВАЛ
2_Купил в другом месте,После контакта с нами (визит не состоялся) клиент купил автомобиль у конкурента или физ.лица.,"Уточнить у клиента, где и какую модель купил, если известно.",КВАЛ
2_Не доработал,Критический статус для разбора. Менеджер упустил клиента на этапе ведения из-за ошибок в работе.,"Обязателен подробный комментарий с анализом упущений (напр., «Не отправил оферту после встречи», «Не перезвонил в обещанный срок»).",КВАЛ
2_Откладывает покупку,После диалога/договоренности на встречу клиент решил перенести покупку.,"Указать новый планируемый срок и причину, почему решил повременить. ",КВАЛ
2_Нужен конкретный автомобиль,"Клиент ищет строго определённую модель с конкретными параметрами, которых нет в наличии. От альтернатив отказался.","Детально указать запрошенные параметры (модель, год, цвет, двигатель и т.д.).",КВАЛ
2_Не устроила история по автотеке,"Клиента не устроила история автомобиля по Автотеке/отчёту: ДТП, ремонты, ограничения, количество владельцев, пробег или иные сведения.","Указать, какой именно пункт отчёта не устроил клиента, и приложить/упомянуть источник информации.",КВАЛ
2_Отказ банка (дистанционно),Только для КСО. Все доступные банки дали официальный отказ.,Статус проставляется КСО,КВАЛ
2_ФССП не подаем (дистанционно),Преимущественно для КСО. Выявлены неоплаченные задолженности по исполнительным производствам (ФССП).,"Статус проставляется КСО. Иногда менеджером CRM, если проверили данные для дистанционной заявки по клиенту, который находится далеко.",КВАЛ
